category,headline,short_description,content
Health,To Hope Again,,To Hope Again 
Entertainment,Clinton's Campaign Is Trying A Lot Harder With Hispanic Media Than Trump's Is,"A Univision executive described the difference as ""night and day.""","Clinton's Campaign Is Trying A Lot Harder With Hispanic Media Than Trump's Is A Univision executive described the difference as ""night and day."""
Tech,What Is the Science Behind Hypnosis?,"Hypnosis is a real phenomenon, and even animals can be hypnotized. But what hypnotism is, exactly, remains unclear. In a remarkable experiment reported in the New York Times [1], subjects were given the post-hypnotic suggestion that they would see words that would appear incomprehensible as if in a foreign language.","What Is the Science Behind Hypnosis? Hypnosis is a real phenomenon, and even animals can be hypnotized. But what hypnotism is, exactly, remains unclear. In a remarkable experiment reported in the New York Times [1], subjects were given the post-hypnotic suggestion that they would see words that would appear incomprehensible as if in a foreign language."
Health,Are Bedbugs Turning Into Superbugs?,"The small, itchy raised bumps that signal bedbugs’ presence in a home are just the start of aggravations to come. Laundering","Are Bedbugs Turning Into Superbugs? The small, itchy raised bumps that signal bedbugs’ presence in a home are just the start of aggravations to come. Laundering"
Entertainment,AP's Bombshell Clinton Foundation Report Comes Under Scrutiny,The campaign is identifying likely names on the donor list the news outlet isn't ready to reveal.,AP's Bombshell Clinton Foundation Report Comes Under Scrutiny The campaign is identifying likely names on the donor list the news outlet isn't ready to reveal.
Tech,WATCH LIVE: Meteor Shower Peaks Tonight,,WATCH LIVE: Meteor Shower Peaks Tonight 
Business,5 Exciting Startups to Inspire Any Entrepreneur in 2015,"In 2009, when the Great Recession really got rolling and layoffs were abundant, there was a silver lining. A lot of wannabe entrepreneurs got the kick in the pants they needed to start their business.","5 Exciting Startups to Inspire Any Entrepreneur in 2015 In 2009, when the Great Recession really got rolling and layoffs were abundant, there was a silver lining. A lot of wannabe entrepreneurs got the kick in the pants they needed to start their business."
Sports,This Unreal Frisbee Play Is The Ultimate Catch,That's the way the pros do it.,This Unreal Frisbee Play Is The Ultimate Catch That's the way the pros do it.
Sports,Abby Wambach Asked For A 'F**king Goal' And Got One,Talk about a motivational speech.,Abby Wambach Asked For A 'F**king Goal' And Got One Talk about a motivational speech.
Politics,TPP: Obama's Folly,"The trade deals negotiated by the last three presidents have lowered U.S. wages, lost jobs and generated a chronic trade deficit. President Obama's main argument that exports have risen, without mentioning that imports have risen much faster, is now transparently deceitful to anyone who can add and subtract.","TPP: Obama's Folly The trade deals negotiated by the last three presidents have lowered U.S. wages, lost jobs and generated a chronic trade deficit. President Obama's main argument that exports have risen, without mentioning that imports have risen much faster, is now transparently deceitful to anyone who can add and subtract."
Business,World's Richest Lose $194 Billion In First Trading Week of 2016,The world’s 400 richest people lost almost $194 billion this week as world stock markets began the year with a shudder on,World's Richest Lose $194 Billion In First Trading Week of 2016 The world’s 400 richest people lost almost $194 billion this week as world stock markets began the year with a shudder on
Politics,Trade Deal Already Hurting Democrats,,Trade Deal Already Hurting Democrats 
Politics,"For Liberal Billionaire Tom Steyer, It’s All About That Base",He’s betting that a campaign to impeach Donald Trump will turn out infrequent voters in November. What could go wrong?,"For Liberal Billionaire Tom Steyer, It’s All About That Base He’s betting that a campaign to impeach Donald Trump will turn out infrequent voters in November. What could go wrong?"
Business,Disney World Fights Against Paid Sick Days For Florida Employees,"Family organization MomsRising.org is spearheading efforts to fight back. The group claims that this week, Disney World refused","Disney World Fights Against Paid Sick Days For Florida Employees Family organization MomsRising.org is spearheading efforts to fight back. The group claims that this week, Disney World refused"
Sports,"Redskins, Rams Trade Draft Picks, Likely Sending Robert Griffin III To Washington: REPORT","With Manning apparently unlikely to be lured to the Beltway, the Redskins have, per Glazer, gone aggressively in another","Redskins, Rams Trade Draft Picks, Likely Sending Robert Griffin III To Washington: REPORT With Manning apparently unlikely to be lured to the Beltway, the Redskins have, per Glazer, gone aggressively in another"
Sports,Matthew Centrowitz Becomes First American To Win 1500-Meter Since 1908,He stunned pre-race favorite Asbel Kiprop of Kenya.,Matthew Centrowitz Becomes First American To Win 1500-Meter Since 1908 He stunned pre-race favorite Asbel Kiprop of Kenya.
Politics,TRUMP  AND THE 1%,"Whether it's the now inevitable national unilateral rejection of you that you are already preparing for by saying things like the election is rigged and that the Sarah Palin media is turning on you or the unlimited Blue Velvet gas that you are huffing that is making you delusional enough to think that you have been both a fine parent and outstanding human being, let me say this:","TRUMP  AND THE 1% Whether it's the now inevitable national unilateral rejection of you that you are already preparing for by saying things like the election is rigged and that the Sarah Palin media is turning on you or the unlimited Blue Velvet gas that you are huffing that is making you delusional enough to think that you have been both a fine parent and outstanding human being, let me say this:"
Tech,What Exactly Is The Microwave Doing To Your Food? Here's The Science,"Don't worry, scientists say microwaved food can be just as nutritious as conventionally cooked food.","What Exactly Is The Microwave Doing To Your Food? Here's The Science Don't worry, scientists say microwaved food can be just as nutritious as conventionally cooked food."
Tech,Apple Confirms It Slows Down Old iPhones As Their Batteries Age,But only in certain circumstances.,Apple Confirms It Slows Down Old iPhones As Their Batteries Age But only in certain circumstances.
Politics,What Warren Harding Can Teach Us About Sex And Foreign Influence In American Politics,"What a time we live in. A long hushed horror over sexual harassment risks spilling over into hysteria, mainly because its","What Warren Harding Can Teach Us About Sex And Foreign Influence In American Politics What a time we live in. A long hushed horror over sexual harassment risks spilling over into hysteria, mainly because its"
Tech,Nuclear Weapons Are Much More Dangerous Than Global Warming,Skeptical Science is a great website that debunks global warming deniers. But their home page has a box counting up the amount of energy trapped by greenhouse gases in units of Hiroshima atomic bomb energy.,Nuclear Weapons Are Much More Dangerous Than Global Warming Skeptical Science is a great website that debunks global warming deniers. But their home page has a box counting up the amount of energy trapped by greenhouse gases in units of Hiroshima atomic bomb energy.
Tech,Scientists Boost Older Brains' Ability To Heal And Learn,,Scientists Boost Older Brains' Ability To Heal And Learn 
Business,Francois Hollande On French Economy: 'I Am In A Battle And Will Not Look Back',"""He seemed to be a totally helpless president, expressing hopes for growth, some minor measures that practically came from","Francois Hollande On French Economy: 'I Am In A Battle And Will Not Look Back' ""He seemed to be a totally helpless president, expressing hopes for growth, some minor measures that practically came from"
Tech,Physics Is Totally This Cat's Meow,The law of cat-servation of momentum.,Physics Is Totally This Cat's Meow The law of cat-servation of momentum.
Sports,LeBron James Hits The NBA's Third Game-Winner In 3 Days,Best. Second Round. Ever.,LeBron James Hits The NBA's Third Game-Winner In 3 Days Best. Second Round. Ever.
Business,Costa Concordia Disaster: 5 Former Employees Sentenced To Jail,None of the five are likely to be jailed as the sentences of under two years were suspended and the longer ones may be replaced,Costa Concordia Disaster: 5 Former Employees Sentenced To Jail None of the five are likely to be jailed as the sentences of under two years were suspended and the longer ones may be replaced
Politics,"What, Me Worry?",After falling dramatically last Wednesday in reaction to concerns about political setbacks and controversies in the nascent,"What, Me Worry? After falling dramatically last Wednesday in reaction to concerns about political setbacks and controversies in the nascent"
Health,Looting After a Hurricane: It's Not About the Bread,"There are always a plethora of excuses and rationales for the looting after a natural disaster.  If it's for bread, I get that.  If it's for a flat screen TV or designer jeans or the latest sneakers, I don't.","Looting After a Hurricane: It's Not About the Bread There are always a plethora of excuses and rationales for the looting after a natural disaster.  If it's for bread, I get that.  If it's for a flat screen TV or designer jeans or the latest sneakers, I don't."
Politics,"Marines To 1,100 Endangered Desert Tortoises: Move Out","The U.S. Marine Corps has announced a plan to fly more than 1,100 endangered desert tortoises away from their habitat in","Marines To 1,100 Endangered Desert Tortoises: Move Out The U.S. Marine Corps has announced a plan to fly more than 1,100 endangered desert tortoises away from their habitat in"
Sports,17 Fun Tidbits About Super Bowl 50 That Will Get You Hyped,Cam Newton wasn't born the last time a Heisman-winning QB played in the Super Bowl.,17 Fun Tidbits About Super Bowl 50 That Will Get You Hyped Cam Newton wasn't born the last time a Heisman-winning QB played in the Super Bowl.
Health,Screens In The Bedroom Could Hinder Boys' Sleep,"By Tara Haelle In other words, autistic boys' playing video games in their bedrooms appeared to be the biggest part of their","Screens In The Bedroom Could Hinder Boys' Sleep By Tara Haelle In other words, autistic boys' playing video games in their bedrooms appeared to be the biggest part of their"
Entertainment,'American Hustle' Deleted Scenes Include Jeremy Renner Leading The Gang In A Dance Session,"Two new clips from the DVD and Blu-ray's special features have surfaced online, and one of them is a must-watch for anyone","'American Hustle' Deleted Scenes Include Jeremy Renner Leading The Gang In A Dance Session Two new clips from the DVD and Blu-ray's special features have surfaced online, and one of them is a must-watch for anyone"
Entertainment,Lady Gaga Tears Up While Talking About The Downsides Of Fame On 'Sunday Morning',"""As soon as I go out into the world, I belong, in a way, to everyone else.""","Lady Gaga Tears Up While Talking About The Downsides Of Fame On 'Sunday Morning' ""As soon as I go out into the world, I belong, in a way, to everyone else."""
Business,"Elon Musk's Estranged Father Has Child With Stepdaughter, Says It's 'God's Plan'",The young woman was only 4 years old when Errol Musk married her mother.,"Elon Musk's Estranged Father Has Child With Stepdaughter, Says It's 'God's Plan' The young woman was only 4 years old when Errol Musk married her mother."
Tech,Which Game Should Have Won 'Game Of The Year'? (POLLS),Click here for the winner! Winner: Grand Theft Auto V Click here for the winner! Winner: The Last of Us Click here for the,Which Game Should Have Won 'Game Of The Year'? (POLLS) Click here for the winner! Winner: Grand Theft Auto V Click here for the winner! Winner: The Last of Us Click here for the
Business,Meet The Man Who Lost $25 Billion In One Year,"A year ago, Eike Batista was Brazil's richest man, and his goal of climbing to No. 1 in the world seemed within reach. Read","Meet The Man Who Lost $25 Billion In One Year A year ago, Eike Batista was Brazil's richest man, and his goal of climbing to No. 1 in the world seemed within reach. Read"
Politics,Donald Trump Drops Money Into Church Collection Bucket And Twitter Makes Him Pay,"""Making sure the camera sees all the bills,"" one person remarked of footage showing the president's offering at a Las Vegas church.","Donald Trump Drops Money Into Church Collection Bucket And Twitter Makes Him Pay ""Making sure the camera sees all the bills,"" one person remarked of footage showing the president's offering at a Las Vegas church."
Entertainment,That 'Jumanji' Remake Now Has A Director,It's set for release Christmas 2016.,That 'Jumanji' Remake Now Has A Director It's set for release Christmas 2016.
Entertainment,"Sting Reveals The Weird Way He Met His Current Collaborator, Shaggy",Let’s just say it was a very abrupt first encounter.,"Sting Reveals The Weird Way He Met His Current Collaborator, Shaggy Let’s just say it was a very abrupt first encounter."
Entertainment,Even 'Queen' Helen Mirren Is Scared Of Donald Trump,"When the ""Queen of England"" is concerned for your safety, you listen.","Even 'Queen' Helen Mirren Is Scared Of Donald Trump When the ""Queen of England"" is concerned for your safety, you listen."
Health,Relaxation Games,"We can't always sit still or slow our minds down enough to enjoy meditation. What we can do is turn relaxation into a playful way of being. Over time, the more we learn to be present and love where we are, making room for just sitting begins to happen naturally.","Relaxation Games We can't always sit still or slow our minds down enough to enjoy meditation. What we can do is turn relaxation into a playful way of being. Over time, the more we learn to be present and love where we are, making room for just sitting begins to happen naturally."
Business,Curating Relationship Building to Accelerate Onboarding,,Curating Relationship Building to Accelerate Onboarding 
Health,The Pot of Gold -- Embracing the Enjoyment of Life,"Happiness, when authentic, true and deep is by far the most rewarding and breath taking experience there will ever be. And I am going to embrace it, for better or worse -- accepting and appreciating the path that is unfolding.","The Pot of Gold -- Embracing the Enjoyment of Life Happiness, when authentic, true and deep is by far the most rewarding and breath taking experience there will ever be. And I am going to embrace it, for better or worse -- accepting and appreciating the path that is unfolding."
Health,Go for Gold!,"Just think, if no one ever told you that you couldn't do something wouldn't you be less likely to doubt yourself  -- if you doubted yourself at all? Never ever ever be the one to doubt yourself.  Never.","Go for Gold! Just think, if no one ever told you that you couldn't do something wouldn't you be less likely to doubt yourself  -- if you doubted yourself at all? Never ever ever be the one to doubt yourself.  Never."
Health,The Urbanite's Guide to Beating Insomnia,"Reestablishing sleep patterns without the use of pharmaceuticals is not only possible but also preferable when you think about the drawbacks of sustained sleeping pill use. It requires a delicate and highly personalized approach including nutrition, botanicals and lifestyle changes.","The Urbanite's Guide to Beating Insomnia Reestablishing sleep patterns without the use of pharmaceuticals is not only possible but also preferable when you think about the drawbacks of sustained sleeping pill use. It requires a delicate and highly personalized approach including nutrition, botanicals and lifestyle changes."
Business,The TPP and the Future of the U.S. Economy,There is absolutely no doubt that this country faces serious issues of income inequality. But killing a trade deal when it offers at least the hope of a better future for the American economy is not the way to fix those pressing problems.,The TPP and the Future of the U.S. Economy There is absolutely no doubt that this country faces serious issues of income inequality. But killing a trade deal when it offers at least the hope of a better future for the American economy is not the way to fix those pressing problems.
Tech,Apple Loses Patent Lawsuit To University Of Wisconsin-Madison,A jury found Tuesday that Apple used technology owned by the university's licensing arm without permission.,Apple Loses Patent Lawsuit To University Of Wisconsin-Madison A jury found Tuesday that Apple used technology owned by the university's licensing arm without permission.
Entertainment,George Clooney Calls Out Donald Trump For Being The Real 'Hollywood Elitist',"""He collects $120,000 a year in his Screen Actors Guild pension fund,"" said Clooney.","George Clooney Calls Out Donald Trump For Being The Real 'Hollywood Elitist' ""He collects $120,000 a year in his Screen Actors Guild pension fund,"" said Clooney."
Entertainment,SHARON STONE HONORED BY THE MARRAKECH INTERNATIONAL FILM FESTIVAL,A sign of an exceptional actress: as she walked up the Red Carpet to the opening ceremony of the Marrakech International,SHARON STONE HONORED BY THE MARRAKECH INTERNATIONAL FILM FESTIVAL A sign of an exceptional actress: as she walked up the Red Carpet to the opening ceremony of the Marrakech International
Entertainment,"Dear Jim Sleeper, Not Everything Is About Yale","Although he has spent many, many words on Singapore, Jim Sleeper doesn't appear to care a fig about the country and its residents. He isn't upset about oppression in Singapore because oppression is bad in and of itself. He's upset about oppression in Singapore because it makes the institution at which he teaches look bad.","Dear Jim Sleeper, Not Everything Is About Yale Although he has spent many, many words on Singapore, Jim Sleeper doesn't appear to care a fig about the country and its residents. He isn't upset about oppression in Singapore because oppression is bad in and of itself. He's upset about oppression in Singapore because it makes the institution at which he teaches look bad."
Entertainment,Jimmy Kimmel Found You The Most Ridiculous Fights From Black Friday,"In their defense, 40 percent off is a lot of savings.","Jimmy Kimmel Found You The Most Ridiculous Fights From Black Friday In their defense, 40 percent off is a lot of savings."
Tech,"Big Brother, Little Brother, Social Brother","This week, starting with the tragic and sensless bombing of the Boston Marathon on Monday, through a riveting manhunt for two fugitive brothers, and ending in the death of one and apprehension of the other, Social Brother showed us just how powerful his genie (Internet+mobile+social+photography) has become.","Big Brother, Little Brother, Social Brother This week, starting with the tragic and sensless bombing of the Boston Marathon on Monday, through a riveting manhunt for two fugitive brothers, and ending in the death of one and apprehension of the other, Social Brother showed us just how powerful his genie (Internet+mobile+social+photography) has become."
Health,New Noninvasive Colorectal Cancer Screening Test Is Effective In Large Trial,"However, they also found that Cologuard seemed to be associated with more false positive results -- where a test result would","New Noninvasive Colorectal Cancer Screening Test Is Effective In Large Trial However, they also found that Cologuard seemed to be associated with more false positive results -- where a test result would"
Business,Is The Twinkie Moving To Mexico,Who knew there were so many Twinkie diehards? The announcement that Hostess Brands would shutter and liquidate its 33 bakeries,Is The Twinkie Moving To Mexico Who knew there were so many Twinkie diehards? The announcement that Hostess Brands would shutter and liquidate its 33 bakeries
Entertainment,18 'One Tree Hill' Cast And Crew Members Accuse Mark Schwahn Of Sexual Harassment,"The women published a letter detailing the showrunner's ""traumatizing"" behavior.","18 'One Tree Hill' Cast And Crew Members Accuse Mark Schwahn Of Sexual Harassment The women published a letter detailing the showrunner's ""traumatizing"" behavior."
Entertainment,Taylor Swift Sends Kanye West A Message During Grammys Album Of The Year Speech,Kanye had this coming.,Taylor Swift Sends Kanye West A Message During Grammys Album Of The Year Speech Kanye had this coming.
Sports,What's Next For The Chicago Bulls?,,What's Next For The Chicago Bulls? 
Health,Cognitive Behavior Therapy for Diabetes,,Cognitive Behavior Therapy for Diabetes 
Tech,Richard Branson Returns To Passenger Space Travel Race With New Craft,"The ""Unity"" was named by British physicist Stephen Hawking.","Richard Branson Returns To Passenger Space Travel Race With New Craft The ""Unity"" was named by British physicist Stephen Hawking."
Sports,Washington's NFL Team Is In Desperate Need Of A History Lesson,"The owner who chose the team's controversial name was for 24 years considered ""the leading racist in the NFL.""","Washington's NFL Team Is In Desperate Need Of A History Lesson The owner who chose the team's controversial name was for 24 years considered ""the leading racist in the NFL."""
Health,7 Truths About Personal Power,"It is your standards of happiness, love, values, personal development and responsibility that set your course in life. Have the courage to think as big as you can, expect nothing less than the best, and most importantly, be kind. Here are seven ways to exponentially elevate your quality of life.","7 Truths About Personal Power It is your standards of happiness, love, values, personal development and responsibility that set your course in life. Have the courage to think as big as you can, expect nothing less than the best, and most importantly, be kind. Here are seven ways to exponentially elevate your quality of life."
Politics,Jimmy Fallon Spots Similarities Between A Donald Trump Speech And ‘Legally Blonde’,🤔🤔🤔,Jimmy Fallon Spots Similarities Between A Donald Trump Speech And ‘Legally Blonde’ 🤔🤔🤔
Business,The Rise and Fall of Krugmania in the UK,"It is already conventional to name the former party leaders Ed Miliband, Nick Clegg and Nigel Farage as the biggest losers of the British general election. But this is to understate the abject defeat suffered by some Keynesian economists, and in particular the Nobel prize winning former Princeton professor Paul Krugman.","The Rise and Fall of Krugmania in the UK It is already conventional to name the former party leaders Ed Miliband, Nick Clegg and Nigel Farage as the biggest losers of the British general election. But this is to understate the abject defeat suffered by some Keynesian economists, and in particular the Nobel prize winning former Princeton professor Paul Krugman."
Politics,Lawyer At White House COVID-Cluster Event Spoke Later To Group Fighting Mail-In Votes,Attorney Cleta Mitchell was photographed without a face mask at a conference days after a Rose Garden event linked to an outbreak of coronavirus infections.,Lawyer At White House COVID-Cluster Event Spoke Later To Group Fighting Mail-In Votes Attorney Cleta Mitchell was photographed without a face mask at a conference days after a Rose Garden event linked to an outbreak of coronavirus infections.
Tech,Earhart Plane Debris May Have Been Found On Ocean Floor,"Hans Van Tilburg, coordinator of the maritime heritage program for the Pacific region of the National Oceanic and Atmospheric","Earhart Plane Debris May Have Been Found On Ocean Floor Hans Van Tilburg, coordinator of the maritime heritage program for the Pacific region of the National Oceanic and Atmospheric"
Health,"As Anxiety Levels Go Up, So May Stroke Risk","""Everyone has some anxiety now and then. But when it's elevated and/or chronic, it may have an effect on your vasculature","As Anxiety Levels Go Up, So May Stroke Risk ""Everyone has some anxiety now and then. But when it's elevated and/or chronic, it may have an effect on your vasculature"
Business,North Korea Sanctions Must Target Regime To Bruise Economy,,North Korea Sanctions Must Target Regime To Bruise Economy 
Entertainment,Chrissy Metz Says She Was Physically Abused By Her Stepfather As A Teen,"""He would hit me if he thought I looked at him wrong,"" the actress told People.","Chrissy Metz Says She Was Physically Abused By Her Stepfather As A Teen ""He would hit me if he thought I looked at him wrong,"" the actress told People."
Tech,"Mercury Flooded With Lava 4 Billion Years Ago, 'Messenger' Data Show","Cratered Mercury (inset) won't win any beauty prizes, but it sure had a colorful past. Thanks to the Messenger spacecraft","Mercury Flooded With Lava 4 Billion Years Ago, 'Messenger' Data Show Cratered Mercury (inset) won't win any beauty prizes, but it sure had a colorful past. Thanks to the Messenger spacecraft"
Health,Valleys: Episode 3 -- 'This Guilty Feeling',"Talking about cancer can be difficult. And for many, the thought of sharing their actual feelings about cancer with those they love can feel insurmountable.","Valleys: Episode 3 -- 'This Guilty Feeling' Talking about cancer can be difficult. And for many, the thought of sharing their actual feelings about cancer with those they love can feel insurmountable."
Health,How My Father Lost Himself In Alzheimer's,By James Prenatt The last time I saw my father he was a pale imitation of the man who raised me. He was a body with a soul,How My Father Lost Himself In Alzheimer's By James Prenatt The last time I saw my father he was a pale imitation of the man who raised me. He was a body with a soul
Politics,Trump Calls For The White House Correspondents' Dinner To Be Put To 'Rest',"""This year was an embarrassment to everyone associated with it.""","Trump Calls For The White House Correspondents' Dinner To Be Put To 'Rest' ""This year was an embarrassment to everyone associated with it."""
Business,Old School Is New School,"We live in the age of the “Next Big Thing.” The latest and greatest smartphones are released every twelve months, rendering","Old School Is New School We live in the age of the “Next Big Thing.” The latest and greatest smartphones are released every twelve months, rendering"
Business,When Commerce Makes Us Want to Puke,"I'm not so naïve or recalcitrant as to deny the fact that the surest way to wreck the American economy -- to take it from whatever point it sits at today and send it straight into the abyss -- is for us consumers to voluntarily go on a six-month austerity kick, a period during which we don't buy anything except stuff we actually ""need.""","When Commerce Makes Us Want to Puke I'm not so naïve or recalcitrant as to deny the fact that the surest way to wreck the American economy -- to take it from whatever point it sits at today and send it straight into the abyss -- is for us consumers to voluntarily go on a six-month austerity kick, a period during which we don't buy anything except stuff we actually ""need."""
Politics,Eddie Bernice Johnson Is Latest U.S. Rep. To Announce Retirement,The veteran congresswoman won't be seeking reelection next year.,Eddie Bernice Johnson Is Latest U.S. Rep. To Announce Retirement The veteran congresswoman won't be seeking reelection next year.
Entertainment,How Donald Trump And Ted Cruz's Love Affair Is All Relationships,Just a couple of young kids trying to feel something in this crazy world.,How Donald Trump And Ted Cruz's Love Affair Is All Relationships Just a couple of young kids trying to feel something in this crazy world.
Entertainment,'SNL' Sketch For Liberal Wonderland 'The Bubble' Is ... Necessarily Honest,A community of like-minded freethinkers. And no one else.,'SNL' Sketch For Liberal Wonderland 'The Bubble' Is ... Necessarily Honest A community of like-minded freethinkers. And no one else.
Entertainment,You Can Guess Where This Is Going,,You Can Guess Where This Is Going 
Politics,Arrest Warrants Issued For Tea Party Lawmakers Who Covered Up Affair,"""No one is above the law, not even those who walk in the halls of power.""","Arrest Warrants Issued For Tea Party Lawmakers Who Covered Up Affair ""No one is above the law, not even those who walk in the halls of power."""
Politics,How Much Does Trump Actually Work At Mar-A-Lago? Maybe Not So Much,Staff is cagey about how much time president spends golfing on pricey trips to his resort.,How Much Does Trump Actually Work At Mar-A-Lago? Maybe Not So Much Staff is cagey about how much time president spends golfing on pricey trips to his resort.
Sports,Watch The Incredible Moment When A Student With Down Syndrome Hit A Big Three,This kind of story reminds us how powerful sports can be.,Watch The Incredible Moment When A Student With Down Syndrome Hit A Big Three This kind of story reminds us how powerful sports can be.
Sports,"After Eli Apple, The NFL Must Kick Homophobia Out Of Football",The league has a chance to respond to anti-gay discrimination with an actual punishment.,"After Eli Apple, The NFL Must Kick Homophobia Out Of Football The league has a chance to respond to anti-gay discrimination with an actual punishment."
Sports,"Calm Yourself, NFL Fan Of A Winning Team: My Team's Losing","If MY team isn't winning, then nothing else matters, right?","Calm Yourself, NFL Fan Of A Winning Team: My Team's Losing If MY team isn't winning, then nothing else matters, right?"
Health,5 Signs It's Time To Switch Up Your Workout,"Could changing it up be what you need to get stronger, fitter, faster? Take the test now.","5 Signs It's Time To Switch Up Your Workout Could changing it up be what you need to get stronger, fitter, faster? Take the test now."
Health,Freeing Your Holidays (and Yourself) From Anxiety: 6 Steps to Having More Joy and Less Stress,"It's time to change our relationship with the holidays. We don't have to break up with them, but just know that as with all things anxiety, the holidays aren't the problem -- it's the story in our head about the holidays that needs to change.","Freeing Your Holidays (and Yourself) From Anxiety: 6 Steps to Having More Joy and Less Stress It's time to change our relationship with the holidays. We don't have to break up with them, but just know that as with all things anxiety, the holidays aren't the problem -- it's the story in our head about the holidays that needs to change."
Sports,Oregon Heads To The Final Four For The First Time Since 1939,Oregon shot 51 percent for the game while holding Kansas to 35 percent shooting.,Oregon Heads To The Final Four For The First Time Since 1939 Oregon shot 51 percent for the game while holding Kansas to 35 percent shooting.
Politics,Gary Cohn Falsely Claims Wealthy Won't Benefit From Trump Tax Plan,"Maybe the president's economic adviser hasn't read the plan yet. Eighty percent of the tax cuts go to the wealthy, according to one estimate.","Gary Cohn Falsely Claims Wealthy Won't Benefit From Trump Tax Plan Maybe the president's economic adviser hasn't read the plan yet. Eighty percent of the tax cuts go to the wealthy, according to one estimate."
Sports,Commentator Apologizes After Racist On-Air Joke About Japanese Baseball Player,Jack Morris appeared to make fun of an Asian accent as he discussed Angels all-star Shohei Ohtani.,Commentator Apologizes After Racist On-Air Joke About Japanese Baseball Player Jack Morris appeared to make fun of an Asian accent as he discussed Angels all-star Shohei Ohtani.
Sports,Chicago Cubs Advance To First NLCS Since 2003,They are hoping to win their first World Series since 1908.,Chicago Cubs Advance To First NLCS Since 2003 They are hoping to win their first World Series since 1908.
Politics,Scott Pruitt Buffeted By Growing Pressure To Resign From EPA,"Even former New Jersey Gov. Chris Christie, who weathered ""Bridgegate,"" wonders how Pruitt will survive the furor over his Capitol Hill rental.","Scott Pruitt Buffeted By Growing Pressure To Resign From EPA Even former New Jersey Gov. Chris Christie, who weathered ""Bridgegate,"" wonders how Pruitt will survive the furor over his Capitol Hill rental."
Entertainment,Bill O'Reilly Blasts 'Corrupt Far Left Group' Media Matters,,Bill O'Reilly Blasts 'Corrupt Far Left Group' Media Matters 
Sports,An NFL Player Just Won A Silver For Long Jumping At The Pan Am Games,Prepare to feel like a huge underachiever.,An NFL Player Just Won A Silver For Long Jumping At The Pan Am Games Prepare to feel like a huge underachiever.
Entertainment,What's Luke Skywalker Been Up to For the Last 30 Years? A MAD Magazine Exclusive,"Next week, the new issue of MAD Magazine hits newsstands, which is okay, I guess. More important than that (and with a decidedly higher budget), next year sees the release of a new Star Wars film.","What's Luke Skywalker Been Up to For the Last 30 Years? A MAD Magazine Exclusive Next week, the new issue of MAD Magazine hits newsstands, which is okay, I guess. More important than that (and with a decidedly higher budget), next year sees the release of a new Star Wars film."
Tech,Powerful Solar Flare Reveals Its Secrets,,Powerful Solar Flare Reveals Its Secrets 
Business,Interview With the Street Rapper Nazz,"His sales manner was so confident and he had three people in his employ, so I was intrigued. Here was a young entrepreneurial artist who created four jobs.","Interview With the Street Rapper Nazz His sales manner was so confident and he had three people in his employ, so I was intrigued. Here was a young entrepreneurial artist who created four jobs."
Business,"What to Do When You Are Growing Your Core Fast, But Not Fast Enough","With over 350M subscribers and growing fast, it would be hard to question LinkedIn's growth. When you compare this number to any of the LinkedIn's traditional competitors, they are doing just fine.","What to Do When You Are Growing Your Core Fast, But Not Fast Enough With over 350M subscribers and growing fast, it would be hard to question LinkedIn's growth. When you compare this number to any of the LinkedIn's traditional competitors, they are doing just fine."
Politics,Paul Ryan Shrugs Off Donald Trump's Claim About The Media Downplaying Terrorist Attacks,The latest edition of Paul Ryan's profile in courage.,Paul Ryan Shrugs Off Donald Trump's Claim About The Media Downplaying Terrorist Attacks The latest edition of Paul Ryan's profile in courage.
Business,It Looks Like Uber's Winning Its War With New York,Grab the popcorn.,It Looks Like Uber's Winning Its War With New York Grab the popcorn.
Tech,Ancient Bones Reveal Bizarre Iron Age Rituals,,Ancient Bones Reveal Bizarre Iron Age Rituals 
Politics,President Donald Trump Suggests Death Penalty For Drug Dealers,"Trump used Singapore's ""zero tolerance"" drug policy as an example of how the U.S. should be.","President Donald Trump Suggests Death Penalty For Drug Dealers Trump used Singapore's ""zero tolerance"" drug policy as an example of how the U.S. should be."
Entertainment,Eva Mendes Reportedly Pregnant With Second Child,"Baby No. 2 for the actress and her longtime partner, Ryan Gosling.","Eva Mendes Reportedly Pregnant With Second Child Baby No. 2 for the actress and her longtime partner, Ryan Gosling."
Health,Ask JJ: Balsamic Vinegar,"Proceed with caution, whether you're using balsamic vinegar or its kissing cousin balsamic vinaigrette, which, as a salad dressing, can have added sugar, oil, and seasonings. And don't be fooled by those fancy-sounding commercial balsamic vinegars.","Ask JJ: Balsamic Vinegar Proceed with caution, whether you're using balsamic vinegar or its kissing cousin balsamic vinaigrette, which, as a salad dressing, can have added sugar, oil, and seasonings. And don't be fooled by those fancy-sounding commercial balsamic vinegars."
Sports,"Olympic Officials Lose Keys To Stadium, Pull Out The Bolt Cutters",EVERYTHING IS GOING JUST FINE.,"Olympic Officials Lose Keys To Stadium, Pull Out The Bolt Cutters EVERYTHING IS GOING JUST FINE."
Politics,Insurance Executive Blasts GOP Health Care Proposal: 'This Bill Is Terrible',"Unlike his Aetna counterpart, he doesn't think there's a ""death spiral"" under Obamacare.","Insurance Executive Blasts GOP Health Care Proposal: 'This Bill Is Terrible' Unlike his Aetna counterpart, he doesn't think there's a ""death spiral"" under Obamacare."
